Stt,Tỉnh mới,Gộp từ các tỉnh cũ,Phường/xã mới,Sát nhập từ các Phường/xã trước
1,An Giang,"An Giang, Kiên Giang",Xã An Biên,"Thị trấn Thứ Ba, Xã Đông Yên, Xã Hưng Yên"
2,An Giang,"An Giang, Kiên Giang",Xã An Châu,"Thị trấn An Châu, Xã Hòa Bình Thạnh, Xã Vĩnh Thành"
3,An Giang,"An Giang, Kiên Giang",Xã An Cư,"Xã Văn Giáo, Xã Vĩnh Trung, Xã An Cư"
4,An Giang,"An Giang, Kiên Giang",Xã An Minh,"Thị trấn Thứ Mười Một, Xã Đông Hưng, Xã Đông Hưng B"
5,An Giang,"An Giang, Kiên Giang",Xã An Phú,"Thị trấn An Phú, Xã Vĩnh Hội Đông, Xã Phú Hội, Xã Phước Hưng"
6,An Giang,"An Giang, Kiên Giang",Xã Ba Chúc,"Thị trấn Ba Chúc, Xã Lạc Quới, Xã Lê Trì"
7,An Giang,"An Giang, Kiên Giang",Xã Bình An,"Xã Bình An (huyện Châu Thành), Xã Vĩnh Hòa Hiệp, Xã Vĩnh Hòa Phú"
8,An Giang,"An Giang, Kiên Giang",Phường Bình Đức,"Phường Bình Khánh, Phường Bình Đức, Xã Mỹ Khánh"
9,An Giang,"An Giang, Kiên Giang",Phường Bình Giang,Bình Giang
10,An Giang,"An Giang, Kiên Giang",Xã Bình Hòa,"Xã Bình Thạnh, Xã An Hòa, Xã Bình Hòa"
11,An Giang,"An Giang, Kiên Giang",Xã Bình Mỹ,"Xã Bình Thủy, Xã Bình Chánh, Xã Bình Mỹ"
12,An Giang,"An Giang, Kiên Giang",Phường Bình Sơn,Bình Sơn
13,An Giang,"An Giang, Kiên Giang",Xã Bình Thạnh Đông,"Xã Hiệp Xương, Xã Phú Bình, Xã Bình Thạnh Đông"
14,An Giang,"An Giang, Kiên Giang",Xã Cần Đăng,"Xã Vĩnh Lợi, Xã Cần Đăng"
15,An Giang,"An Giang, Kiên Giang",Phường Châu Đốc,"Phường Vĩnh Nguơn, Phường Châu Phú A, Phường Châu Phú B, Phường
Vĩnh Mỹ, Xã Vĩnh Châu"
16,An Giang,"An Giang, Kiên Giang",Xã Châu Phong,"Xã Phú Vĩnh, Xã Lê Chánh, Xã Châu Phong"
17,An Giang,"An Giang, Kiên Giang",Xã Châu Phú,"Thị trấn Cái Dầu, Xã Bình Long, Xã Bình Phú"
18,An Giang,"An Giang, Kiên Giang",Xã Châu Thành,"Thị trấn Minh Lương, Xã Minh Hòa, Xã Giục Tượng"
19,An Giang,"An Giang, Kiên Giang",Phường Chi Lăng,"Phường Núi Voi, Phường Chi Lăng, Xã Tân Lợi"
20,An Giang,"An Giang, Kiên Giang",Xã Chợ Mới,"Thị trấn Chợ Mới, Xã Kiến An, Xã Kiến Thành"
21,An Giang,"An Giang, Kiên Giang",Xã Chợ Vàm,"Thị trấn Chợ Vàm, Xã Phú Thạnh, Xã Phú Thành"
22,An Giang,"An Giang, Kiên Giang",Xã Cô Tô,"Thị trấn Cô Tô, Xã Tà Đảnh, Xã Tân Tuyến"
23,An Giang,"An Giang, Kiên Giang",Xã Cù Lao Giêng,"Xã Tấn Mỹ, Xã Mỹ Hiệp, Xã Bình Phước Xuân"
24,An Giang,"An Giang, Kiên Giang",Xã Định Hòa,"Xã Thới Quản, Xã Thủy Liễu, Xã Định Hòa"
25,An Giang,"An Giang, Kiên Giang",Xã Định Mỹ,"Xã Vĩnh Phú (huyện Thoại Sơn), Xã Định Thành, Xã Định Mỹ"
26,An Giang,"An Giang, Kiên Giang",Xã Đông Hòa,"Xã Đông Thạnh, Xã Đông Hòa"
27,An Giang,"An Giang, Kiên Giang",Xã Đông Hưng,"Xã Vân Khánh Đông, Xã Đông Hưng A"
28,An Giang,"An Giang, Kiên Giang",Xã Đông Thái,"Xã Nam Thái, Xã Nam Thái A, Xã Đông Thái"
29,An Giang,"An Giang, Kiên Giang",Xã Giang Thành,"Xã Tân Khánh Hòa, Xã Phú Lợi, Xã Phú Mỹ"
30,An Giang,"An Giang, Kiên Giang",Phường Giồng Riềng,Giồng Riềng
31,An Giang,"An Giang, Kiên Giang",Xã Gò Quao,"Thị trấn Gò Quao, Xã Vĩnh Phước B, Xã Định An"
32,An Giang,"An Giang, Kiên Giang",Phường Hà Tiên,"Phường Pháo Đài, Phường Bình San, Phường Mỹ Đức, Phường Đông Hồ"
33,An Giang,"An Giang, Kiên Giang",Xã Hòa Điền,"Xã Kiên Bình, Xã Hòa Điền"
34,An Giang,"An Giang, Kiên Giang",Xã Hòa Hưng,"Xã Hòa An (huyện Giồng Riềng), Xã Hòa Lợi, Xã Hòa Hưng"
35,An Giang,"An Giang, Kiên Giang",Xã Hòa Lạc,"Xã Phú Hiệp, Xã Hòa Lạc"
