STT,Tinh_Thanh,Ten_Xa_Moi,Cac_Xa_Cu_Sap_Nhap,Loai_Don_Vi
1,An Giang,An Phú,"thị trấn An Phú, xã Vĩnh Hội Đông, một phần diện tích tự nhiên, quy mô dân số của xã Phú Hội và xã Phước Hưng",Xã
2,An Giang,Vĩnh Hậu,"thị trấn Đa Phước, xã Vĩnh Trường và xã Vĩnh Hậu",Xã
3,An Giang,Nhơn Hội,"xã Quốc Thái, xã Nhơn Hội, một phần diện tích tự nhiên, quy mô dân số của xã Phước Hưng và phần còn lại của xã Phú Hội sau khi sắp xếp theo quy định tại khoản 1 Điều này",Xã
4,An Giang,Khánh Bình,"thị trấn Long Bình, xã Khánh An và xã Khánh Bình",Xã
5,An Giang,Phú Hữu,"xã Phú Hữu, xã Vĩnh Lộc và phần còn lại của xã Phước Hưng sau khi sắp xếp theo quy định tại khoản 1, khoản 3 Điều này",Xã
6,An Giang,Tân An,"xã Tân An và xã Tân Thạnh (thị xã Tân Châu), xã Long An",Xã
7,An Giang,Châu Phong,"các xã Phú Vĩnh, Lê Chánh và Châu Phong",Xã
8,An Giang,Vĩnh Xương,"các xã Vĩnh Hòa (thị xã Tân Châu), Phú Lộc và Vĩnh Xương",Xã
9,An Giang,Phú Tân,"thị trấn Phú Mỹ và các xã Tân Hòa (huyện Phú Tân), Tân Trung, Phú Hưng",Xã
10,An Giang,Phú An,"các xã Phú Thọ, Phú Xuân và Phú An",Xã
11,An Giang,Bình Thạnh Đông,"các xã Hiệp Xương, Phú Bình và Bình Thạnh Đông",Xã
12,An Giang,Chợ Vàm,"thị trấn Chợ Vàm, xã Phú Thạnh và xã Phú Thành",Xã
13,An Giang,Hòa Lạc,xã Phú Hiệp và xã Hòa Lạc,Xã
14,An Giang,Phú Lâm,"các xã Long Hòa, Phú Long và Phú Lâm",Xã
15,An Giang,Châu Phú,"thị trấn Cái Dầu, xã Bình Long và xã Bình Phú",Xã
16,An Giang,Mỹ Đức,xã Khánh Hòa và xã Mỹ Đức,Xã
17,An Giang,Vĩnh Thạnh Trung,thị trấn Vĩnh Thạnh Trung và xã Mỹ Phú,Xã
18,An Giang,Bình Mỹ,"các xã Bình Thủy, Bình Chánh và Bình Mỹ",Xã
19,An Giang,Thạnh Mỹ Tây,"các xã Đào Hữu Cảnh, Ô Long Vĩ và Thạnh Mỹ Tây",Xã
20,An Giang,An Cư,"các xã Văn Giáo, Vĩnh Trung và An Cư",Xã
21,An Giang,Núi Cấm,xã Tân Lập và xã An Hảo,Xã
22,An Giang,Ba Chúc,"thị trấn Ba Chúc, xã Lạc Quới và xã Lê Trì",Xã
23,An Giang,Tri Tôn,"thị trấn Tri Tôn, xã Núi Tô và xã Châu Lăng",Xã
