Week,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,1,"49,8842","0,03795","1,8931",44,"45,5","46,3","46,8","47,5","47,9","48,6","49,9","51,2","51,8","52,3",53,"53,4","54,3","55,7"
1,1,"51,1152","0,03723","1,903","45,2","46,7","47,5",48,"48,7","49,1","49,8","51,1","52,4","53,1","53,6","54,2","54,7","55,5",57
2,1,"52,3461","0,03652","1,9117","46,4","47,9","48,8","49,2","49,9","50,4","51,1","52,3","53,6","54,3","54,8","55,5","55,9","56,8","58,3"
3,1,"53,3905","0,03609","1,9269","47,4","48,9","49,8","50,2","50,9","51,4","52,1","53,4","54,7","55,4","55,9","56,6",57,"57,9","59,3"
4,1,"54,3881","0,0357","1,9417","48,4","49,9","50,7","51,2","51,9","52,4","53,1","54,4","55,7","56,4","56,9","57,6",58,"58,9","60,4"
5,1,"55,3374","0,03534","1,9556","49,3","50,8","51,7","52,1","52,8","53,3",54,"55,3","56,7","57,4","57,8","58,6",59,"59,9","61,4"
6,1,"56,2357","0,03501","1,9688","50,2","51,7","52,5",53,"53,7","54,2","54,9","56,2","57,6","58,3","58,8","59,5","59,9","60,8","62,3"
7,1,"57,0851","0,0347","1,9809",51,"52,5","53,4","53,8","54,5",55,"55,7","57,1","58,4","59,1","59,6","60,3","60,8","61,7","63,2"
8,1,"57,8889","0,03442","1,9925","51,7","53,3","54,1","54,6","55,3","55,8","56,5","57,9","59,2",60,"60,4","61,2","61,6","62,5",64
9,1,"58,6536","0,03416","2,0036","52,5",54,"54,9","55,4","56,1","56,6","57,3","58,7",60,"60,7","61,2","61,9","62,4","63,3","64,8"
10,1,"59,3872","0,03392","2,0144","53,2","54,7","55,6","56,1","56,8","57,3",58,"59,4","60,7","61,5",62,"62,7","63,2","64,1","65,6"
11,1,"60,0894","0,03369","2,0244","53,8","55,4","56,3","56,8","57,5",58,"58,7","60,1","61,5","62,2","62,7","63,4","63,9","64,8","66,3"
12,1,"60,7605","0,03348","2,0343","54,5",56,"56,9","57,4","58,2","58,7","59,4","60,8","62,1","62,9","63,4","64,1","64,6","65,5",67
13,1,"61,4013","0,03329","2,044","55,1","56,6","57,6",58,"58,8","59,3",60,"61,4","62,8","63,5",64,"64,8","65,2","66,2","67,7"
