Year: Month,Months,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0: 0,0,2.0,2.4,2.8,3.2,3.7,4.2,4.8
0: 1,1,2.7,3.2,3.6,4.2,4.8,5.5,6.2
0: 2,2,3.4,3.9,4.5,5.1,5.8,6.6,7.5
0: 3,3,4.0,4.5,5.2,5.8,6.6,7.5,8.5
0: 4,4,4.4,5.0,5.7,6.4,7.3,8.2,9.3
0: 5,5,4.8,5.4,6.1,6.9,7.8,8.8,10.0
0: 6,6,5.1,5.7,6.5,7.3,8.2,9.3,10.6
0: 7,7,5.3,6.0,6.8,7.6,8.6,9.8,11.1
0: 8,8,5.6,6.3,7.0,7.9,9.0,10.2,11.6
0: 9,9,5.8,6.5,7.3,8.2,9.3,10.5,12.0
00:10,10,5.9,6.7,7.5,8.5,9.6,10.9,12.4
00:11,11,6.1,6.9,7.7,8.7,9.9,11.2,12.8
1: 0,12,6.3,7.0,7.9,8.9,10.1,11.5,13.1
1: 1,13,6.4,7.2,8.1,9.2,10.4,11.8,13.5
1: 2,14,6.6,7.4,8.3,9.4,10.6,12.1,13.8
1: 3,15,6.7,7.6,8.5,9.6,10.9,12.4,14.1
1: 4,16,6.9,7.7,8.7,9.8,11.1,12.6,14.5
1: 5,17,7.0,7.9,8.9,10.0,11.4,12.9,14.8
1: 6,18,7.2,8.1,9.1,10.2,11.6,13.2,15.1
1: 7,19,7.3,8.2,9.2,10.4,11.8,13.5,15.4
1: 8,20,7.5,8.4,9.4,10.6,12.1,13.7,15.7
1: 9,21,7.6,8.6,9.6,10.9,12.3,14.0,16.0
01:10,22,7.8,8.7,9.8,11.1,12.5,14.3,16.4
01:11,23,7.9,8.9,10.0,11.3,12.8,14.6,16.7
2: 0,24,8.1,9.0,10.2,11.5,13.0,14.8,17.0
2: 1,25,8.2,9.2,10.3,11.7,13.3,15.1,17.3
2: 2,26,8.4,9.4,10.5,11.9,13.5,15.4,17.7
2: 3,27,8.5,9.5,10.7,12.1,13.7,15.7,18.0
2: 4,28,8.6,9.7,10.9,12.3,14.0,16.0,18.3
2: 5,29,8.8,9.8,11.1,12.5,14.2,16.2,18.7
2: 6,30,8.9,10.0,11.2,12.7,14.4,16.5,19.0
2: 7,31,9.0,10.1,11.4,12.9,14.7,16.8,19.3
2: 8,32,9.1,10.3,11.6,13.1,14.9,17.1,19.6
2: 9,33,9.3,10.4,11.7,13.3,15.1,17.3,20.0
02:10,34,9.4,10.5,11.9,13.5,15.4,17.6,20.3
02:11,35,9.5,10.7,12.0,13.7,15.6,17.9,20.6
3: 0,36,9.6,10.8,12.2,13.9,15.8,18.1,20.9
3: 1,37,9.7,10.9,12.4,14.0,16.0,18.4,21.3
3: 2,38,9.8,11.1,12.5,14.2,16.3,18.7,21.6
3: 3,39,9.9,11.2,12.7,14.4,16.5,19.0,22.0
3: 4,40,10.1,11.3,12.8,14.6,16.7,19.2,22.3
3: 5,41,10.2,11.5,13.0,14.8,16.9,19.5,22.7
3: 6,42,10.3,11.6,13.1,15.0,17.2,19.8,23.0
3: 7,43,10.4,11.7,13.3,15.2,17.4,20.1,23.4
3: 8,44,10.5,11.8,13.4,15.3,17.6,20.4,23.7
3: 9,45,10.6,12.0,13.6,15.5,17.8,20.7,24.1
03:10,46,10.7,12.1,13.7,15.7,18.1,20.9,24.5
03:11,47,10.8,12.2,13.9,15.9,18.3,21.2,24.8
4: 0,48,10.9,12.3,14.0,16.1,18.5,21.5,25.2
4: 1,49,11.0,12.4,14.2,16.3,18.8,21.8,25.5
4: 2,50,11.1,12.6,14.3,16.4,19.0,22.1,25.9
4: 3,51,11.2,12.7,14.5,16.6,19.2,22.4,26.3
4: 4,52,11.3,12.8,14.6,16.8,19.4,22.6,26.6
4: 5,53,11.4,12.9,14.8,17.0,19.7,22.9,27.0
4: 6,54,11.5,13.0,14.9,17.2,19.9,23.2,27.4
4: 7,55,11.6,13.2,15.1,17.3,20.1,23.5,27.7
4: 8,56,11.7,13.3,15.2,17.5,20.3,23.8,28.1
4: 9,57,11.8,13.4,15.3,17.7,20.6,24.1,28.5
04:10,58,11.9,13.5,15.5,17.9,20.8,24.4,28.8
04:11,59,12.0,13.6,15.6,18.0,21.0,24.6,29.2
5: 0,60,12.1,13.7,15.8,18.2,21.2,24.9,29.5
